Index-1,Index-2,$,Brent
0.13222,0.129504,0.351331,0.676119
0.133951,0.13222,0.348443,0.685764
0.13405,0.133951,0.351425,0.695991
0.136678,0.13405,0.356197,0.686578
0.137628,0.136678,0.35786,0.686578
0.13616,0.137628,0.353089,0.681464
0.137368,0.13616,0.35786,0.677862
0.139583,0.137368,0.35604,0.704939
0.141711,0.139583,0.357515,0.716095
0.142735,0.141711,0.364139,0.72853
0.144274,0.142735,0.364044,0.708658
0.146453,0.144274,0.35786,0.699012
0.14546,0.146453,0.354658,0.699012
0.147154,0.14546,0.356291,0.799535
0.145309,0.147154,0.35786,0.745264
0.141502,0.145309,0.35786,0.737711
0.143207,0.141502,0.35943,0.751075
0.145319,0.143207,0.357672,0.751075
0.149826,0.145319,0.356165,0.749216
0.150179,0.149826,0.356291,0.729227
0.151239,0.150179,0.356197,0.725392
0.153939,0.151239,0.35943,0.719117
0.153086,0.153939,0.35943,0.709355
0.156192,0.153086,0.360999,0.692504
0.156864,0.156192,0.359147,0.686229
0.15687,0.156864,0.35786,0.668565
0.157442,0.15687,0.359273,0.679256
0.154028,0.157442,0.357766,0.679837
0.154366,0.154028,0.35786,0.679605
0.151268,0.154366,0.357641,0.673329
0.150584,0.151268,0.357703,0.677513
0.154919,0.150584,0.35808,0.704939
0.156906,0.154919,0.35786,0.704939
0.153866,0.156906,0.356291,0.687972
0.148627,0.153866,0.356385,0.683788
